material_ID,material_name,material_vendor,material_category,LCA_source,LCA_ID,LCA_source_URL,density (kg/m3),GHG emissions Total (kg),GHG emissions production (kg),GHG emissions disposal (kg)
SPAG-300410-10.005,Jackodur CFR 300 / 500 (80mm),,,KBOB,10.005,,40,14.39,11.3,3.09
SPAG-300412-10.005,Jackodur DS 300 (20-60mm),,,KBOB,10.005,,35,14.39,11.3,3.09
SPAG-300413-10.005,Jackodur DS 300 (61-80mm),,,KBOB,10.005,,35,14.39,11.3,3.09
SPAG-300414-10.005,Jackodur DS 300 (81-160mm),,,KBOB,10.005,,35,14.39,11.3,3.09
SPAG-300415-10.005,Jackodur DS 300 (161-220mm),,,KBOB,10.005,,35,14.39,11.3,3.09
SPAG-300416-10.005,Jackodur KF 300 Jackodrain (20-60mm),,,KBOB,10.005,,35,14.39,11.3,3.09
SPAG-300420-10.005,Jackodur KF 300 (20-60mm),,,KBOB,10.005,,35,14.39,11.3,3.09
SPAG-300421-10.005,Jackodur KF 300 (61-180mm),,,KBOB,10.005,,35,14.39,11.3,3.09
SPAG-300422-10.005,Jackodur KF 500 (40-60mm),,,KBOB,10.005,,36,14.39,11.3,3.09
SPAG-300423-10.005,Jackodur KF 500 (61-160mm),,,KBOB,10.005,,36,14.39,11.3,3.09
SPAG-300424-10.005,Jackodur KF 500 (161-320mm),,,KBOB,10.005,,36,14.39,11.3,3.09
SPAG-300427-10.005,Jackodur KF 700 (161-320mm),,,KBOB,10.005,,39,14.39,11.3,3.09
SPAG-300428-10.005,Gematherm XC5 (50-60mm),,,KBOB,10.005,,37,14.39,11.3,3.09
SPAG-300429-10.005,Gematherm XC5 (80-300mm),,,KBOB,10.005,,37,14.39,11.3,3.09
SPAG-300430-10.005,Gematherm XC3 / XCW (30-40mm),,,KBOB,10.005,,33,14.39,11.3,3.09
SPAG-300431-10.005,Gematherm XC3 / XCW (50-60mm),,,KBOB,10.005,,33,14.39,11.3,3.09
SPAG-300432-10.005,Gematherm XC3 / XCW (80-300mm),,,KBOB,10.005,,33,14.39,11.3,3.09
SPAG-300433-10.005,Gematherm XC7 (50-60mm),,,KBOB,10.005,,45,14.39,11.3,3.09
SPAG-300434-10.005,Gematherm XC7 (80-120mm),,,KBOB,10.005,,45,14.39,11.3,3.09
SPAG-300435-10.005,Gemadrain XPS (50-60mm),,,KBOB,10.005,,37,14.39,11.3,3.09
SPAG-300436-10.005,Gemadrain XPS (80-300mm),,,KBOB,10.005,,37,14.39,11.3,3.09
SPAG-300439-10.005,swissporXPS Premium (10-400mm),,,KBOB,10.005,,45,14.39,11.3,3.09
SPAG-300453-10.006,"PUR, PIR: Zellinhalt Pentan, diffusionsdicht; nicht überwacht",,,KBOB,10.006,,55,7.45,4.8,2.65
SPAG-300454-10.006,"PUR, PIR: Zellinhalt Pentan, diffusionsoffen; nicht überwacht",,,KBOB,10.006,,55,7.45,4.8,2.65
SPAG-300455-10.006,Therma TR26 FM (> 30mm),,,KBOB,10.006,,30,7.45,4.8,2.65
SPAG-300457-10.006,Bauder PIR diffusionsdicht (20-240mm),,,KBOB,10.006,,40,7.45,4.8,2.65
SPAG-300458-10.006,Bauder PIR diffusionsoffen (20-79mm),,,KBOB,10.006,,40,7.45,4.8,2.65
SPAG-300459-10.006,Bauder PIR diffusionsoffen (80-119mm),,,KBOB,10.006,,40,7.45,4.8,2.65
SPAG-300460-10.006,Bauder PIR diffusionsoffen (120-240mm),,,KBOB,10.006,,40,7.45,4.8,2.65
SPAG-300468-10.006,puren Plus (80-119mm),,,KBOB,10.006,,33,7.45,4.8,2.65
SPAG-300471-10.006,puren PIR NE / purenotherm (20-79mm),,,KBOB,10.006,,33,7.45,4.8,2.65
SPAG-300472-10.006,puren PIR NE / purenotherm (80-119mm),,,KBOB,10.006,,33,7.45,4.8,2.65
